date,Open_x,High_x,Low_x,value,Adj Close_x,Volume_x,gdp,cpiaucsl,Open_y,High_y,Low_y,qqq,Adj Close_y,Volume_y,Open,High,Low,dia,Adj Close,Volume,spy,group,time_idx,month,EMA_12,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,EMA_26,MACD,Signal_Line,High_Low,High_Close,Low_Close,TR,ATR
2016-01-28,23.4475,23.629999,23.0975,-1.0727253365370704,21.358456,222715200,370.51866,237.652,102.190002,102.290001,100.260002,102.0,97.444397,47641532.0,160.679993,160.899994,158.470001,160.509995,137.404877,8613436.0,189.110001,0,77,1,-1.04786053375155,158.3041,165.81445300000001,-1.500799254302008,-1.487287194254023,25.467501,-1.024364344280134,-0.7923375950754032,-0.872999546985104,2.429992999999996,137.544994,135.115001,137.544994,-2.288766662201098
2016-01-29,23.6975,24.334999,23.5875,-1.0553130091541498,22.096205,257666000,370.51866,237.652,102.0,104.169998,101.940002,104.129997,99.479279,54245067.0,161.610001,164.429993,161.330002,164.369995,140.709259,6182773.0,193.720795,0,78,1,-1.0483000188940537,159.4040985,165.81445300000001,-1.500799254302008,-1.478312156198871,25.2575,-1.0259189987193218,-0.762921426284155,-0.8630669823792211,3.0999909999999886,140.90749399999999,137.807503,140.90749399999999,-2.293253633572647
2016-02-01,24.1175,24.1775,23.85,-1.0601884393908108,21.889643,163774000,370.51866,237.336,103.620003,104.800003,103.230003,104.410004,99.746765,31860236.0,163.389999,164.970001,162.820007,164.339996,140.683609,6977286.0,193.649994,0,79,2,-1.0494251131398076,159.6741025,165.81445300000001,-1.500799254302008,-1.4756008494001693,25.280001,-1.0277233947850437,-0.7451426086865567,-0.8513040475435758,2.1499939999999924,140.635002,138.485008,140.635002,-2.292025446806841
2016-02-02,23.855,24.01,23.57,-1.0706358143900063,21.446989,149428800,370.51866,237.336,103.970001,103.970001,101.839996,102.150002,97.5877,44928088.0,162.699997,162.699997,160.940002,161.410004,138.175262,7900994.0,190.160004,0,80,2,-1.0519911673229239,160.925003,165.81445300000001,-1.500799254302008,-1.4756008494001693,25.2925,-1.0301760648902316,-0.7485596196736891,-0.842627287923646,1.7599950000000035,138.59249699999998,136.83250199999998,138.59249699999998,-2.3003934545588165
2016-02-03,23.75,24.209999,23.52,-1.0606170505263903,21.871483,183857200,370.51866,237.336,102.800003,102.830002,99.879997,101.660004,97.119591,61572882.0,162.419998,163.75,159.479996,163.199997,139.707611,14249346.0,191.300003,0,81,2,-1.0526146102071352,161.720001,165.81445300000001,-1.500799254302008,-1.4756008494001693,25.565001,-1.0316972020897388,-0.7249240677503265,-0.8306116316504736,4.270004,140.129999,135.859995,140.129999,-2.302751550747156
2016-02-04,23.965,24.3325,23.797501,-1.0592776407277043,22.047213,185886800,370.51866,237.336,101.349998,102.455002,100.440002,101.650002,97.110031,49321638.0,162.820007,164.800003,162.580002,164.139999,140.51236,11715786.0,191.600006,0,82,2,-1.0529352087154848,161.720001,165.81445300000001,-1.500799254302008,-1.4756008494001693,25.629999,-1.0330054144325678,-0.6988613834175111,-0.8154037839873297,2.2200009999999963,140.712503,138.492502,140.712503,-2.3015397429927056
2016-02-05,24.129999,24.23,23.422501,-1.0731003712807026,21.45838,185672400,370.51866,237.336,101.290001,101.330002,97.720001,98.120003,93.737694,70749932.0,163.869995,164.009995,161.220001,161.940002,138.629089,8292457.0,187.949997,0,83,2,-1.0553420061746224,161.720001,165.5491025,-1.500799254302008,-1.4712067743860449,26.145,-1.035251283400898,-0.7035095943222882,-0.8042354168701347,2.789994000000007,139.859995,137.070001,139.859995,-2.287915156669816
2016-02-08,23.282499,23.924999,23.26,-1.0677962656167916,21.684328,216085600,370.51866,237.336,96.330002,97.050003,94.839996,96.620003,92.30468,91673063.0,160.110001,160.809998,158.050003,160.350006,137.267914,13377575.0,185.419998,0,84,2,-1.0565590773393292,161.510002,165.014099,-1.500799254302008,-1.4559677339512398,26.4925,-1.0369338063097129,-0.6914005281762847,-0.7927010626369441,2.7599950000000035,137.304999,134.545004,137.304999,-2.2880215891297193
2016-02-09,23.5725,23.985001,23.4825,-1.0679034612618,21.67976,177324800,370.51866,237.336,95.360001,97.779999,95.18,96.32,92.018074,73778426.0,158.539993,161.460007,158.509995,160.240005,137.173782,11449205.0,185.429993,0,85,2,-1.0576054678150304,161.510002,163.0591045,-1.505139088451801,-1.4553133734320316,26.450001,-1.0384997209420523,-0.6778337906700866,-0.7805609754444099,2.9500119999999868,137.707506,134.757494,137.707506,-2.2782207044596468
2016-02-10,23.98,24.0875,23.525,-1.0717609614820163,21.51544,169374400,370.51866,237.336,97.5,98.690002,96.620003,96.690002,92.371536,59421699.0,160.979996,162.300003,159.229996,159.389999,136.446091,8205655.0,185.270004,0,86,2,-1.0590868337882549,161.510002,163.0591045,-1.5193695030410534,-1.469710884848448,26.48,-1.040238356215928,-0.6712727362710398,-0.7694403318158466,3.070007000000004,138.552504,135.482497,138.552504,-2.270163806219278
2016-02-11,23.4475,23.68,23.147499,-1.0748148158230209,21.385342,200298800,370.51866,237.336,95.449997,97.32,95.190002,96.550003,92.237801,76839183.0,156.800003,158.020004,155.259995,156.800003,134.228928,14806696.0,182.860001,0,87,2,-1.0608120979001012,160.114998,162.1741025,-1.5193695030410534,-1.469710884848448,26.477501,-1.0420767691934936,-0.6685624023608595,-0.7599619431309858,2.7600089999999966,134.452505,131.692496,134.452505,-2.2790476398363246
2016-02-12,23.547501,23.625,23.252501,-1.0732611004565447,21.451534,161405600,370.51866,237.336,97.68,98.120003,96.730003,98.019997,93.642166,49186494.0,158.160004,159.979996,157.660004,159.979996,136.951187,7072978.0,186.630005,0,88,2,-1.0620318978642311,160.029999,161.15910300000002,-1.5317519697692523,-1.4822387493716136,26.68,-1.0436627157205611,-0.6590796624736013,-0.7503434100649099,2.3199920000000134,136.55499700000001,134.235005,136.55499700000001,-2.275150227719693
2016-02-16,23.754999,24.2125,23.6525,-1.0590633351599144,22.056347,196231600,370.51866,237.336,99.440002,100.230003,98.849998,100.230003,95.753441,40565911.0,161.759995,162.289993,160.619995,162.199997,138.851593,5451192.0,189.779999,0,89,2,-1.0608705740731164,160.029999,160.38410149999999,-1.5643711760056749,-1.5152409778898204,26.532499,-1.0440685540360322,-0.6174503627886194,-0.7337113091459193,1.669998000000021,138.792494,137.12249599999998,138.792494,-2.2688210253266434
